"QueryName","CurrencyCode","ServiceName","ProductName","SkuName","ArmSkuName","MeterName","ServiceFamily","UnitOfMeasure","TierMinimumUnits","PriceType","ReservationTerm","West Europe","Sweden Central","Italy North","Germany West Central","Spain Central","Switzerland North","Belgium Central","France Central","Norway East","Austria East","Denmark East","Poland Central"
"Event Grid Standard MQTT Operations","USD","Event Grid","Event Grid","Standard","","Standard MQTT Operations","Internet of Things","1M","1.0","Consumption",,"1.0","1.0","1.0","1.0","1.0","1.0","n/a","1.0","1.0","1.0","n/a","1.0"
"Event Grid Standard Throughput Unit","USD","Event Grid","Event Grid","Standard","","Standard Throughput Unit","Internet of Things","1 Hour","0.0","Consumption",,"0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","n/a","0.04"
"Event Hubs Standard Throughput Unit","USD","Event Hubs","Event Hubs","Standard","","Standard Throughput Unit","Internet of Things","1 Hour","0.0","Consumption",,"0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Event Hubs Standard Ingress Events","USD","Event Hubs","Event Hubs","Standard","","Standard Ingress Events","Internet of Things","1M","0.0","Consumption",,"0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028","0.028"
"Event Hubs Standard Capture","USD","Event Hubs","Event Hubs","Standard","","Standard Capture","Internet of Things","1 Hour","0.0","Consumption",,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Event Hubs Premium Processing Unit","USD","Event Hubs","Event Hubs","Premium","","Premium Processing Unit","Internet of Things","1 Hour","0.0","Consumption",,"1.336","1.336","1.336","1.336","1.336","1.4696","1.336","1.284","1.469","1.336","1.336","1.4696"
"Redis Cache Premium P1","USD","Redis Cache","Azure Redis Cache Premium","P1","Azure_Redis_Cache_Premium_P1_Cache","P1 Cache","Databases","1 Hour","0.0","Consumption",,"0.555","0.555","0.555","0.555","0.555","0.555","0.555","0.694","0.555","0.555","0.555","0.555"
"Redis Cache Premium P2","USD","Redis Cache","Azure Redis Cache Premium","P2","Azure_Redis_Cache_Premium_P2_Cache","P2 Cache","Databases","1 Hour","0.0","Consumption",,"1.11","1.11","1.11","1.11","1.11","1.11","1.11","1.388","1.11","1.11","1.11","1.11"
"Azure Managed Redis Balanced B10","USD","Redis Cache","Azure Managed Redis - Balanced","B10","Azure_Managed_Redis_Balanced_B10","B10 Cache Instance","Databases","1 Hour","0.0","Consumption",,"0.375","0.331","0.362","0.375","0.375","0.45045","0.375","0.362","0.45045","0.375","0.375","0.4095"
"Azure Managed Redis Compute Optimized X100","USD","Redis Cache","Azure Managed Redis - Compute Optimized","X100","Azure_Managed_Redis_Compute_Optimized_X100","X100 Cache Instance","Databases","1 Hour","0.0","Consumption",,"5.549","4.896","5.362","5.549","5.549","6.66809","5.549","5.362","6.66809","5.549","5.549","6.0619"
"Service Bus Standard Base Unit","USD","Service Bus","Service Bus","Standard","","Standard Base Unit","Integration","1/Hour","0.0","Consumption",,"0.013441","0.013441","0.013441","0.013441","0.013441","0.013441","0.013441","0.013441","0.013441","0.013441","0.013441","0.013441"
"Service Bus Standard Messaging Operations","USD","Service Bus","Service Bus","Standard","","Standard Messaging Operations","Integration","1M","0.0","Consumption",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Service Bus Standard Messaging Operations","USD","Service Bus","Service Bus","Standard","","Standard Messaging Operations","Integration","1M","100.0","Consumption",,"0.5","0.5","0.5","0.5","0.65","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"Service Bus Standard Messaging Operations","USD","Service Bus","Service Bus","Standard","","Standard Messaging Operations","Integration","1M","13.0","Consumption",,"0.8","0.8","0.8","0.8","1.04","0.8","0.8","0.8","0.8","0.8","0.8","0.8"
"Service Bus Standard Messaging Operations","USD","Service Bus","Service Bus","Standard","","Standard Messaging Operations","Integration","1M","2500.0","Consumption",,"0.2","0.2","0.2","0.2","0.26","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Service Bus Premium Messaging Unit","USD","Service Bus","Service Bus","Premium","","Premium Messaging Unit","Integration","1/Hour","0.0","Consumption",,"0.9275","0.9275","0.9275","0.9275","0.9275","0.9275","0.9275","0.9275","0.9275","0.9275","0.9275","0.9275"
"Foundry DeepSeek R1 Global Input","USD","Foundry Models","Azure Deepseek Models","R1 Inp glbl","R1 Inp glbl","R1 Inp glbl Tokens","AI + Machine Learning","1K","0.0","Consumption",,"0.00135","0.00135","0.00135","0.00135","0.00135","0.00135","n/a","0.00135","0.00135","n/a","n/a","0.00135"
